pose,pose_x,pose_y,label
2,3.106961589,-26.55460438,1
2,-2.597898589,-12.90788182,1
0,7.160371733,14.4245621,1
0,8.224269633,9.613673467,0
0,5.126961922,14.68832543,1
0,3.82271663,-2.087600107,0
0,4.723676228,8.369059185,0
0,1.43020561,-0.945043761,0
2,-0.923788751,-11.58671428,1
0,7.172284399,14.92498265,1
0,11.5976076,4.456778058,0
0,6.555014987,6.339753317,0
2,0.964359559,-10.18383282,1
1,-15.0,10.0,1
1,-15.0,10.0,1
2,18.62536605,-24.36737958,1
2,15.55315491,-26.03823709,1
2,13.57136171,-24.5784315,1
2,20.03224189,-26.07328304,1
2,21.63994536,-23.66242284,1
2,14.84717804,-21.36435546,1
2,15.05544797,-21.80091331,1
2,8.813901185,-18.9233516,1
1,-15.0,10.0,1
1,-15.0,10.0,1
3,15.60024677,22.91116349,1
3,13.05490589,22.82696306,1
3,12.67364102,25.62857792,1
3,9.118213868,23.64527145,1
3,12.42445591,25.69145272,1
3,13.73523056,26.45278344,1
3,9.788363784,24.53535365,1
0,4.324957386,-2.835306449,0
0,6.645148961,-6.563751133,0
0,7.488234287,4.913601657,0
0,28.97987342,-8.883444872,1
0,5.171529862,-2.578996216,0
0,4.062704775,12.20079932,0
0,0.843558135,-2.653955455,0
0,29.49678823,-7.045039763,1
0,3.887328043,-7.784942607,0
0,7.848894453,-7.469013146,0
0,8.735766075,11.93518515,0
0,13.46942224,-8.217765695,0
0,3.138868773,-2.83504565,0
0,3.94398493,5.932690656,0
0,2.955738848,0.425761328,0
0,5.16236014,-6.087939355,0
0,11.06980048,-5.254623197,0
0,3.002871153,11.41292626,0
